review_id,user_id,order_id,product_id,rating,review_text,review_date
1,33,1669,41,3,متوسط ويؤدي وظيفته لكنه ليس بالجودة التي توقعتها.,2023-05-20 22:59:00
2,489,6171,10,5,ممتاز جداً ويستحق كل ريال. التغليف أنيق والجودة عالية.,2024-11-08 06:16:27
3,96,6459,48,5,منتج رائع جداً فاق توقعاتي بكل المقاييس. أنصح به بشدة.,2023-09-11 06:05:43
4,338,7756,1,1,منتج سيء جداً لا أنصح به أبداً. أطلبوا استرداد أموالكم.,2024-12-16 18:36:00
5,410,7186,51,5,تجربة شراء رائعة والمنتج وصل بحالة مثالية وبالمواصفات المطلوبة.,2023-06-24 15:33:45
6,70,1665,47,5,جودة ممتازة والشحن كان سريعاً وسأشتري مجدداً بالتأكيد.,2024-02-13 21:28:13
7,60,7821,31,5,أفضل منتج اشتريته منذ فترة طويلة وأنصح الجميع بتجربته.,2023-11-28 20:17:28
8,214,252,1,5,تجربة شراء رائعة والمنتج وصل بحالة مثالية وبالمواصفات المطلوبة.,2023-09-24 08:58:28
9,451,5195,138,5,جودة ممتازة والشحن كان سريعاً وسأشتري مجدداً بالتأكيد.,2023-11-04 17:24:00
10,324,9807,38,3,جيد للاستخدام البسيط لكن السعر مرتفع نسبياً لهذه الجودة.,2023-03-30 14:10:41
11,4,5617,109,5,جودة ممتازة والشحن كان سريعاً وسأشتري مجدداً بالتأكيد.,2023-09-18 22:15:07
12,336,5555,66,5,منتج رائع جداً فاق توقعاتي بكل المقاييس. أنصح به بشدة.,2024-09-30 18:51:04
13,111,5997,127,4,مطابق للوصف تقريباً والجودة جيدة وسأوصي به لأصدقائي.,2023-09-07 16:32:38
14,171,9422,5,3,التوصيل كان متأخراً وتغليف المنتج جاء مجعّداً قليلاً.,2023-04-23 07:49:30
15,190,7977,73,5,ممتاز جداً ويستحق كل ريال. التغليف أنيق والجودة عالية.,2024-06-09 07:47:09
16,406,9191,60,5,أفضل منتج اشتريته منذ فترة طويلة وأنصح الجميع بتجربته.,2023-02-20 00:18:43
17,30,5185,34,3,التوصيل كان متأخراً وتغليف المنتج جاء مجعّداً قليلاً.,2024-04-12 02:59:50
18,14,1048,20,5,أفضل منتج اشتريته منذ فترة طويلة وأنصح الجميع بتجربته.,2024-12-20 04:28:53
19,378,6587,53,5,تجربة شراء رائعة والمنتج وصل بحالة مثالية وبالمواصفات المطلوبة.,2023-11-27 07:17:04
20,192,9310,53,5,منتج رائع جداً فاق توقعاتي بكل المقاييس. أنصح به بشدة.,2023-07-15 00:45:56
21,382,4868,29,4,جودة عالية والسعر معقول فقط التغليف كان بسيطاً قليلاً.,2024-07-27 14:22:17
22,94,1437,1,5,جودة ممتازة والشحن كان سريعاً وسأشتري مجدداً بالتأكيد.,2025-01-10 11:15:11
23,397,5441,197,5,ممتاز جداً ويستحق كل ريال. التغليف أنيق والجودة عالية.,2023-06-07 12:46:17
24,81,207,103,4,منتج جيد استلمته بسرعة ويعمل بشكل ممتاز.,2023-12-16 23:22:33
25,274,6748,32,4,مطابق للوصف تقريباً والجودة جيدة وسأوصي به لأصدقائي.,2024-05-07 06:11:12
26,258,9581,64,5,أفضل منتج اشتريته منذ فترة طويلة وأنصح الجميع بتجربته.,2023-11-19 08:15:18
27,205,1781,2,4,مطابق للوصف تقريباً والجودة جيدة وسأوصي به لأصدقائي.,2023-01-24 12:44:52
28,110,3097,46,1,أسوأ تجربة شراء والمنتج مختلف تماماً عن الصور والوصف.,2023-09-13 12:31:53
29,107,5692,162,5,أفضل منتج اشتريته منذ فترة طويلة وأنصح الجميع بتجربته.,2023-06-21 22:22:54
30,268,913,169,1,أسوأ تجربة شراء والمنتج مختلف تماماً عن الصور والوصف.,2023-10-25 08:13:27
31,35,1700,25,4,مطابق للوصف تقريباً والجودة جيدة وسأوصي به لأصدقائي.,2024-01-16 01:17:26
32,457,991,10,4,منتج جيد جداً وبسعر مناسب والشحن كان في الموعد.,2024-02-17 08:21:50
33,354,2989,174,1,لا يستحق حتى نجمة واحدة وجودة رديئة جداً مع سعر مرتفع.,2025-01-09 05:13:17
34,47,1316,34,5,منتج رائع جداً فاق توقعاتي بكل المقاييس. أنصح به بشدة.,2024-09-08 21:11:04
35,183,5080,119,1,منتج سيء جداً لا أنصح به أبداً. أطلبوا استرداد أموالكم.,2023-04-06 18:59:04
36,22,4519,34,5,جودة ممتازة والشحن كان سريعاً وسأشتري مجدداً بالتأكيد.,2024-05-05 23:50:25
37,144,2714,41,3,المنتج مقبول ولكن يحتاج بعض التحسينات في الجودة.,2024-05-20 01:55:27
38,395,7813,53,4,جودة عالية والسعر معقول فقط التغليف كان بسيطاً قليلاً.,2024-09-17 01:19:13
39,378,2421,195,4,جودة عالية والسعر معقول فقط التغليف كان بسيطاً قليلاً.,2023-04-07 03:48:50
40,166,9983,46,4,منتج جيد استلمته بسرعة ويعمل بشكل ممتاز.,2024-05-17 22:55:37
41,270,8672,197,3,المنتج مقبول لكن هناك بدائل أفضل بنفس السعر في السوق.,2023-09-30 16:41:26
42,29,8779,34,4,مطابق للوصف تقريباً والجودة جيدة وسأوصي به لأصدقائي.,2024-03-17 12:16:14
