product_id,name,name,category,subcategory,brand,price,image_url,product_class,diagnostic_status_label,performance_substatus,confidence_level,priority_score,priority_tier,urgency_level,root_cause,root_cause_details,all_issues,issues_count,recommended_action,recommended_action_ar,recommended_action_primary,recommended_action_secondary,recommended_action_primary_ar,recommended_action_secondary_ar,diagnostic_reason,contextual_weakness_reason,evidence_line_1,evidence_line_2,evidence_line_3,unique_viewers,unique_cart_users,unique_buyers,purchase_conversion_rate,category_avg_conversion,relative_conversion_vs_category,revenue,has_bundle_opportunity,bundle_partner_product_id,bundle_partner_name,bundle_strategy,bundle_reason
124,كاميرا ميرورليس - اصدار خاص,كاميرا ميرورليس - اصدار خاص,الالكترونيات,unknown_subcategory,ال جي,4869.43,,Moderate,متوسط,High Abandonment + High Price vs Peers + Weak Content,High,54.26,Medium,Medium,conversion_friction,"Cart activity exists, but too few cart users convert to buyers. Additional issues detected (conversion_friction | pricing | content): The product appears overpriced relative to its closest peer group. Also: Product content richness or image coverage lags similar products.",conversion_friction|pricing|trust|content,4,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,Bundle with ساعه ذكيه سبورت - اصدار خاص where relevant.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,فعّل باقة او ربطا مع المنتج ساعه ذكيه سبورت - اصدار خاص عندما يكون ذلك مناسبا.,المنتج يُشاهَد لكنه لا يتحول إلى شراء بالمستوى المطلوب.,السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | قوة العلامة التجارية أقل من منافسيه داخل المجموعة | تقييم المنتج أقل من متوسط المنتجات المشابهة | الدعم البصري أضعف من المنافسين من حيث عدد الصور | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,Conversion 54.35% vs category avg 796.12%.,Price is above peer average (4869.43 vs 4608.48).,Rating trails peers (2.80 vs 3.30).,46,14.0,24.0,0.5434782608695652,7.961233440029987,0.068265585347227,141213.47,True,141,ساعه ذكيه سبورت - اصدار خاص,Substitute,شركاء مقترحون بناءً على الشراء المتكرر داخل نفس القسم.
176,فرن كهربايي 60 لتر - اصدار خاص,فرن كهربايي 60 لتر - اصدار خاص,المنزل والمطبخ,unknown_subcategory,ديلونجي,1269.55,,Moderate,متوسط,High Abandonment + High Price vs Peers,High,54.05,Medium,Medium,conversion_friction,"Cart activity exists, but too few cart users convert to buyers. Additional issues detected (conversion_friction | pricing): The product appears overpriced relative to its closest peer group.",conversion_friction|pricing|trust,3,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,Bundle with مكيف هواء انفيرتر 18000 where relevant.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,فعّل باقة او ربطا مع المنتج مكيف هواء انفيرتر 18000 عندما يكون ذلك مناسبا.,المنتج يُشاهَد لكنه لا يتحول إلى شراء بالمستوى المطلوب.,السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | قوة العلامة التجارية أقل من منافسيه داخل المجموعة | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,Conversion 37.25% vs category avg 439.13%.,Price is above peer average (1269.55 vs 1168.86).,Cart abandonment is high at 100.00%.,51,11.0,19.0,0.3725490196078431,4.391284662352632,0.0848382758698794,25391.0,True,21,مكيف هواء انفيرتر 18000,Substitute,شركاء مقترحون بناءً على الشراء المتكرر داخل نفس القسم.
189,مزيل عرق رول اون - اصدار خاص,مزيل عرق رول اون - اصدار خاص,الجمال والعنايه,unknown_subcategory,ماك,46.18,,Moderate,متوسط,High Abandonment + Weak Content,High,53.98,Medium,Medium,conversion_friction,"Cart activity exists, but too few cart users convert to buyers. Additional issues detected (conversion_friction | content): Product content richness or image coverage lags similar products.",conversion_friction|trust|content,3,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,Bundle with غسول وجه للبشره الحساسه where relevant.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,فعّل باقة او ربطا مع المنتج غسول وجه للبشره الحساسه عندما يكون ذلك مناسبا.,المنتج يُشاهَد لكنه لا يتحول إلى شراء بالمستوى المطلوب.,تقييم المنتج أقل من متوسط المنتجات المشابهة | الدعم البصري أضعف من المنافسين من حيث عدد الصور | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,Conversion 60.00% vs category avg 676.88%.,Rating trails peers (3.20 vs 3.34).,Cart abandonment is high at 100.00%.,40,14.0,23.0,0.6,6.768778422340422,0.0886422870661113,1293.04,True,37,غسول وجه للبشره الحساسه,Substitute,شركاء مقترحون بناءً على الشراء المتكرر داخل نفس القسم.
185,سماعات لاسلكيه - اصدار خاص,سماعات لاسلكيه - اصدار خاص,الالكترونيات,unknown_subcategory,لينوفو,329.38,,Moderate,متوسط,High Abandonment,High,53.84,Medium,Medium,conversion_friction,"Cart activity exists, but too few cart users convert to buyers.",conversion_friction|trust,2,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,Bundle with شاحن لاسلكي سريع - اصدار خاص where relevant.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,فعّل باقة او ربطا مع المنتج شاحن لاسلكي سريع - اصدار خاص عندما يكون ذلك مناسبا.,المنتج يُشاهَد لكنه لا يتحول إلى شراء بالمستوى المطلوب.,قوة العلامة التجارية أقل من منافسيه داخل المجموعة | تقييم المنتج أقل من متوسط المنتجات المشابهة | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,Conversion 78.95% vs category avg 796.12%.,Rating trails peers (3.20 vs 3.60).,Cart abandonment is high at 100.00%.,38,14.0,29.0,0.7894736842105263,7.961233440029987,0.0991647450307088,10869.54,True,126,شاحن لاسلكي سريع - اصدار خاص,Substitute,شركاء مقترحون بناءً على الشراء المتكرر داخل نفس القسم.
112,شاشه 4K 27 انش - اصدار خاص,شاشه 4K 27 انش - اصدار خاص,الالكترونيات,unknown_subcategory,ال جي,2651.9,,Moderate,متوسط,High Abandonment + High Price vs Peers,High,53.8,Medium,Medium,conversion_friction,"Cart activity exists, but too few cart users convert to buyers. Additional issues detected (conversion_friction | pricing): The product appears overpriced relative to its closest peer group.",conversion_friction|pricing|trust,3,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,Bundle with سماعات لاسلكيه where relevant.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,فعّل باقة او ربطا مع المنتج سماعات لاسلكيه عندما يكون ذلك مناسبا.,المنتج يُشاهَد لكنه لا يتحول إلى شراء بالمستوى المطلوب.,السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | قوة العلامة التجارية أقل من منافسيه داخل المجموعة | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,Conversion 84.62% vs category avg 796.12%.,Price is above peer average (2651.90 vs 2968.92).,Cart abandonment is high at 100.00%.,39,13.0,32.0,0.8461538461538461,7.961233440029987,0.1062842651867596,98120.3,True,3,سماعات لاسلكيه,Substitute,شركاء مقترحون بناءً على الشراء المتكرر داخل نفس القسم.
146,اوزان حديد طقم 20 كيلو - اصدار خاص,اوزان حديد طقم 20 كيلو - اصدار خاص,الرياضه واللياقه,unknown_subcategory,اندر ارمور,323.76,,Moderate,متوسط,High Abandonment + High Price vs Peers + Weak Content,High,53.79,Medium,Medium,conversion_friction,"Cart activity exists, but too few cart users convert to buyers. Additional issues detected (conversion_friction | pricing | content): The product appears overpriced relative to its closest peer group. Also: Product content richness or image coverage lags similar products.",conversion_friction|pricing|trust|content,4,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,Bundle with دراجه هواييه جبليه - اصدار خاص where relevant.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,فعّل باقة او ربطا مع المنتج دراجه هواييه جبليه - اصدار خاص عندما يكون ذلك مناسبا.,المنتج يُشاهَد لكنه لا يتحول إلى شراء بالمستوى المطلوب.,السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | تقييم المنتج أقل من متوسط المنتجات المشابهة | الدعم البصري أضعف من المنافسين من حيث عدد الصور | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,Conversion 86.96% vs category avg 850.97%.,Price is above peer average (323.76 vs 187.20).,Rating trails peers (3.40 vs 4.12).,23,8.0,19.0,0.8695652173913043,8.50970943604373,0.1021850656507933,6798.96,True,96,دراجه هواييه جبليه - اصدار خاص,Substitute,شركاء مقترحون بناءً على الشراء المتكرر داخل نفس القسم.
131,اوزان حديد طقم 20 كيلو - اصدار خاص,اوزان حديد طقم 20 كيلو - اصدار خاص,الرياضه واللياقه,unknown_subcategory,ديكاتلون,457.64,,Moderate,متوسط,High Abandonment + High Price vs Peers + Weak Content,High,53.74,Medium,Medium,conversion_friction,"Cart activity exists, but too few cart users convert to buyers. Additional issues detected (conversion_friction | pricing | content): The product appears overpriced relative to its closest peer group. Also: Product content richness or image coverage lags similar products.",conversion_friction|pricing|trust|content,4,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,Bundle with حقيبه رياضيه جيم where relevant.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,فعّل باقة او ربطا مع المنتج حقيبه رياضيه جيم عندما يكون ذلك مناسبا.,المنتج يُشاهَد لكنه لا يتحول إلى شراء بالمستوى المطلوب.,السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | قوة العلامة التجارية أقل من منافسيه داخل المجموعة | تقييم المنتج أقل من متوسط المنتجات المشابهة | الدعم البصري أضعف من المنافسين من حيث عدد الصور | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,Conversion 92.11% vs category avg 850.97%.,Price is above peer average (457.64 vs 353.64).,Rating trails peers (2.70 vs 3.70).,38,10.0,35.0,0.9210526315789472,8.50970943604373,0.1082354971695903,16932.68,True,48,حقيبه رياضيه جيم,Substitute,شركاء مقترحون بناءً على الشراء المتكرر داخل نفس القسم.
21,مكيف هواء انفيرتر 18000,مكيف هواء انفيرتر 18000,المنزل والمطبخ,unknown_subcategory,بوش,2953.99,,Moderate,متوسط,High Abandonment + High Price vs Peers + Weak Content,High,53.36,Medium,Medium,conversion_friction,"Cart activity exists, but too few cart users convert to buyers. Additional issues detected (conversion_friction | pricing | content): The product appears overpriced relative to its closest peer group. Also: Product content richness or image coverage lags similar products.",conversion_friction|pricing|trust|content,4,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,Bundle with فرن كهربايي 60 لتر - اصدار خاص where relevant.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,فعّل باقة او ربطا مع المنتج فرن كهربايي 60 لتر - اصدار خاص عندما يكون ذلك مناسبا.,المنتج يُشاهَد لكنه لا يتحول إلى شراء بالمستوى المطلوب.,السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | الوصف أقصر من المعتاد ولا يقدم معلومات كافية | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,Conversion 61.36% vs category avg 439.13%.,Price is above peer average (2953.99 vs 3429.91).,Cart abandonment is high at 100.00%.,44,17.0,26.0,0.6136363636363636,4.391284662352632,0.1397396003263445,79757.73,True,176,فرن كهربايي 60 لتر - اصدار خاص,Substitute,شركاء مقترحون بناءً على الشراء المتكرر داخل نفس القسم.
150,اطلس العالم المصور - اصدار خاص,اطلس العالم المصور - اصدار خاص,الكتب والتعليم,unknown_subcategory,بنغوين,244.37,,Moderate,متوسط,High Abandonment + High Price vs Peers + Weak Content,High,53.31,Medium,Medium,conversion_friction,"Cart activity exists, but too few cart users convert to buyers. Additional issues detected (conversion_friction | pricing | content): The product appears overpriced relative to its closest peer group. Also: Product content richness or image coverage lags similar products.",conversion_friction|pricing|trust|content,4,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,Bundle with كتاب تعلم البرمجه بالعربيه where relevant.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,فعّل باقة او ربطا مع المنتج كتاب تعلم البرمجه بالعربيه عندما يكون ذلك مناسبا.,المنتج يُشاهَد لكنه لا يتحول إلى شراء بالمستوى المطلوب.,السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | الدعم البصري أضعف من المنافسين من حيث عدد الصور | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,Conversion 50.00% vs category avg 336.35%.,Price is above peer average (244.37 vs 158.41).,Cart abandonment is high at 100.00%.,56,12.0,27.0,0.5,3.3634956997365264,0.1486548652460494,7331.1,True,51,كتاب تعلم البرمجه بالعربيه,Substitute,شركاء مقترحون بناءً على الشراء المتكرر داخل نفس القسم.
64,عطر رجالي عودي - اصدار خاص,عطر رجالي عودي - اصدار خاص,الجمال والعنايه,unknown_subcategory,لوريال,578.73,,Moderate,متوسط,High Abandonment + High Price vs Peers + Weak Content,High,53.28,Medium,Medium,conversion_friction,"Cart activity exists, but too few cart users convert to buyers. Additional issues detected (conversion_friction | pricing | content): The product appears overpriced relative to its closest peer group. Also: Product content richness or image coverage lags similar products.",conversion_friction|pricing|trust|content,4,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,Investigate checkout or value-friction and reduce drop-off after add-to-cart.,Bundle with كريم مرطب SPF 50 where relevant.,افحص تعثر ما بعد الاضافة للسلة وخفف اسباب الانسحاب قبل الشراء.,فعّل باقة او ربطا مع المنتج كريم مرطب SPF 50 عندما يكون ذلك مناسبا.,المنتج يُشاهَد لكنه لا يتحول إلى شراء بالمستوى المطلوب.,السعر أعلى من المستوى المعتاد داخل المجموعة المنافسة | قوة العلامة التجارية أقل من منافسيه داخل المجموعة | الدعم البصري أضعف من المنافسين من حيث عدد الصور | عدد المراجعات أقل من المنتجات المشابهة مما يضعف الثقة,Conversion 100.00% vs category avg 676.88%.,Price is above peer average (578.73 vs 304.98).,Cart abandonment is high at 100.00%.,40,11.0,38.0,1.0,6.768778422340422,0.1477371451101855,25464.120000000003,True,31,كريم مرطب SPF 50,Substitute,شركاء مقترحون بناءً على الشراء المتكرر داخل نفس القسم.
