product_id,product_name,category,brand,price,rating,description,number_of_images,created_at
1,هاتف ذكي برو ماكس,الإلكترونيات,آبل,5429.43,3.7,هاتف ذكي برو ماكس بمعالج سريع وذاكرة واسعة لتجربة استخدام سلسة ومريحة.,4,2023-01-12 18:11:01
2,لابتوب الترا سليم,الإلكترونيات,شاومي,6856.93,4.9,يتميز لابتوب الترا سليم بتصميم أنيق وبطارية تدوم طويلاً مع شاشة عالية الدقة.,2,2023-05-09 16:43:34
3,سماعات لاسلكية,الإلكترونيات,سامسونج,182.88,3.7,جهاز سماعات لاسلكية بتقنية متطورة وأداء عالٍ يناسب الاستخدام اليومي والمهني.,8,2023-04-20 15:07:26
4,ساعة ذكية سبورت,الإلكترونيات,شاومي,1045.02,4.6,جهاز ساعة ذكية سبورت بتقنية متطورة وأداء عالٍ يناسب الاستخدام اليومي والمهني.,4,2023-05-31 08:49:08
5,تابلت 10 إنش,الإلكترونيات,سامسونج,1043.64,5.0,جهاز تابلت 10 إنش بتقنية متطورة وأداء عالٍ يناسب الاستخدام اليومي والمهني.,6,2023-02-18 16:07:59
6,شاشة 4K 27 إنش,الإلكترونيات,آبل,2618.75,3.1,جهاز شاشة 4K 27 إنش بتقنية متطورة وأداء عالٍ يناسب الاستخدام اليومي والمهني.,4,2023-06-03 09:35:43
7,كاميرا ميرورليس,الإلكترونيات,إل جي,2063.12,3.5,جهاز كاميرا ميرورليس بتقنية متطورة وأداء عالٍ يناسب الاستخدام اليومي والمهني.,7,2023-03-23 17:49:06
8,مكبر صوت بلوتوث,الإلكترونيات,آبل,338.12,4.6,مكبر صوت بلوتوث بمعالج سريع وذاكرة واسعة لتجربة استخدام سلسة ومريحة.,6,2023-01-22 04:13:42
9,راوتر واي فاي 6,الإلكترونيات,شاومي,864.52,3.1,راوتر واي فاي 6 بمعالج سريع وذاكرة واسعة لتجربة استخدام سلسة ومريحة.,6,2023-02-28 13:41:57
10,شاحن لاسلكي سريع,الإلكترونيات,سامسونج,96.42,4.0,يتميز شاحن لاسلكي سريع بتصميم أنيق وبطارية تدوم طويلاً مع شاشة عالية الدقة.,5,2023-05-14 05:26:45
11,قميص قطني كلاسيكي,الأزياء والملابس,بوما,73.96,3.2,قميص قطني كلاسيكي بخيوط عالية الجودة ومتاح بألوان متعددة تناسب ذوقك.,3,2023-01-13 18:06:05
12,فستان سهرة أنيق,الأزياء والملابس,نايكي,378.07,4.2,فستان سهرة أنيق يجمع بين الراحة والأناقة ليناسب مختلف المناسبات.,5,2023-04-09 04:02:19
13,بنطلون جينز سليم فيت,الأزياء والملابس,H&M,342.07,3.2,بنطلون جينز سليم فيت بخيوط عالية الجودة ومتاح بألوان متعددة تناسب ذوقك.,7,2023-06-20 10:24:26
14,عباءة مطرزة فاخرة,الأزياء والملابس,ماكس فاشون,687.06,4.8,عباءة مطرزة فاخرة يجمع بين الراحة والأناقة ليناسب مختلف المناسبات.,4,2023-06-10 16:03:11
15,حذاء رياضي مريح,الأزياء والملابس,أديداس,478.33,3.6,حذاء رياضي مريح يجمع بين الراحة والأناقة ليناسب مختلف المناسبات.,7,2023-02-19 11:52:21
